"Kind","Name","From","Type","DeltaX","DeltaY","Target","Codes","Note"
"POINT","P1","Origin","Origin","","","","","Assembly origin"
"POINT","P2","P1","Delta X and Delta Y","0","Design_Profile.Elevation-P1.Elevation","Design_Profile","Top,Crown","New crown"
"POINT","P3","P2","Slope and Delta X","W_New","Slope_ThietKe","","Top,ETW","New edge"
"LINK","L1","P2->P3","Link","","","","Top,Pave","BTXM top"
"POINT","P4","P2","Delta X and Delta Y","0","-Thick_BTXM","","Subbase","BTXM underside at crown"
"POINT","P5","P3","Delta X and Delta Y","0","-Thick_BTXM","","Subbase,ETW_Sub","BTXM underside at edge"
"POINT","P6","P4","Slope and Delta X","W_Old","Slope_ThietKe","","Subbase_Trong","BTXM underside at old-road edge"
"LINK","L2","P4->P6","Link","","","","Datum,Nilon_Lop1,Nilon_Lop2","Two nylon sheets are represented by codes on the interface"
"LINK","L3","P6->P5","Link","","","","Datum,Nilon_Lop1,Nilon_Lop2","Two nylon sheets"
"LINK","L4","P2->P4","Link","","","","","BTXM thickness"
"LINK","L5","P3->P5","Link","","","","","BTXM thickness"
"SHAPE","S1_BTXM","System.Object[]","Closed Shape","","","","BTXM","New concrete only"
"POINT","P7","P1","Delta X on Surface","0","","Old_Road","Old_Crown","Existing road top at center"
"POINT","P8","P7","Delta X on Surface","W_Old","","Old_Road","Old_ETW","Existing road top at edge"
"POINT","P9","P7","Delta X and Delta Y","0","-Thick_Old","","Old_Datum","Existing road underside center"
"POINT","P10","P8","Delta X and Delta Y","0","-Thick_Old","","Old_Datum","Existing road underside edge"
"LINK","L6","P7->P8","Link","","","","Old_Pave","Existing road surface"
"LINK","L7","P9->P10","Link","","","","Old_Datum","Existing road underside"
"LINK","L8","P7->P9","Link","","","","","Existing road boundary"
"LINK","L9","P8->P10","Link","","","","","Existing road boundary"
"SHAPE","S2_OLDROAD","System.Object[]","Closed Shape","","","","ExistingRoad","Existing only; never count as new material"
"LINK","L10","P8->P6","Link","","","","BuVenh","Bù vênh edge"
"LINK","L11","P7->P4","Link","","","","BuVenh","Bù vênh center"
"SHAPE","S3_BUVENH","System.Object[]","Closed Shape","","","","BuVenh","New material above existing road"
"POINT","P11","P5","Delta X and Delta Y","0","-Thick_CPDD","","Top_DatCP","CPDD bottom at new edge"
"POINT","P12","P6","Delta X and Delta Y","0","-Thick_CPDD","","Top_DatCP","CPDD bottom at old-road edge"
"LINK","L12","P12->P11","Link","","","","Top_DatCP","CPDD bottom line"
"LINK","L13","P5->P11","Link","","","","CPDD","CPDD thickness"
"LINK","L14","P6->P12","Link","","","","CPDD","CPDD thickness"
"SHAPE","S4_CPDD","System.Object[]","Closed Shape","","","","CPDD","Crushed aggregate base"
"POINT","P13","P3","Slope and Delta X","W_Le","Slope_Le","","Top,EPS","Shoulder/expansion edge"
"POINT","P14","P13","Delta X on Surface","0","","EG","EG,Daylight","EG at shoulder edge"
"DECISION","D1_EG_VALID","","Condition","","EG.IsValid","EG","","Target validity gate"
"DECISION","D2_DAYLIGHT","","Condition","","P13.Elevation > P14.Elevation","","","Surface daylight branch"
"DECISION","D3_BOX","","Condition","","Z_BottomStructure > Z_EGminusHC","EG","","Road-box cut/fill condition; expression must be bound to actual SAC points/variables"
"POINT","P15","P13","Slope to Surface","","Slope_Fill","EG","Daylight_Fill","Fill daylight"
"LINK","L15","P13->P15","Link","","","","Daylight_Fill","Fill slope"
"POINT","P16","P13","Slope to Surface","","Slope_Cut","EG","Daylight_Cut","Cut daylight"
"LINK","L16","P13->P16","Link","","","","Daylight_Cut","Cut slope"
"SHAPE","S5_FILL","System.Object[]","Fill closure required in SAC","","","","DatCP","Variable fill to CPDD bottom; do not use fixed thickness"
"SHAPE","S6_CUT","System.Object[]","Cut closure required in SAC","","","","DaoKhuon","Excavation/organic stripping; do not invent soil thickness"
