"Name","Type","Default","Description"
"W_New","Double","2.50","Half width of new BTXM"
"Thick_BTXM","Double","0.20","New concrete thickness"
"W_Old","Double","1.50","Half width of existing road"
"Thick_Old","Double","0.18","Existing pavement thickness"
"Slope_ThietKe","Slope","-2.0%","Design crossfall"
"Thick_CPDD","Double","0.12","CPDD thickness"
"Thick_HC","Double","0.10","Organic stripping thickness"
"W_Le","Double","1.00","Expansion/shoulder strip"
"Slope_Le","Slope","-4.0%","Shoulder slope"
"Slope_Cut","Slope","1:1","Cut slope"
"Slope_Fill","Slope","1:1.5","Fill slope"
